Summary Statistic	joint	prior	likelihood	Current Tree	epoch.clock.coefficient1	epoch.clock.coefficient2	epoch.geography.clock.epoch5	epoch.geography.clock.epoch4	epoch.geography.clock.epoch3	epoch.geography.clock.epoch2	epoch.geography.clock.epoch1	geography.coefficients.Air_flow	geography.coefIndicators	geography.coefficientsTimesIndicators	epochRates	c_Bangladesh_reward0[1]	c_Bangladesh_reward1[1]	c_Bangladesh_reward2[1]	c_Bangladesh_reward3[1]	c_Bangladesh_reward4[1]	c_Bhutan_reward0[1]	c_Bhutan_reward1[1]	c_Bhutan_reward2[1]	c_Bhutan_reward3[1]	c_Bhutan_reward4[1]	c_Cambodia_reward0[1]	c_Cambodia_reward1[1]	c_Cambodia_reward2[1]	c_Cambodia_reward3[1]	c_Cambodia_reward4[1]	c_CentralChina_reward0[1]	c_CentralChina_reward1[1]	c_CentralChina_reward2[1]	c_CentralChina_reward3[1]	c_CentralChina_reward4[1]	c_HongkongChina_reward0[1]	c_HongkongChina_reward1[1]	c_HongkongChina_reward2[1]	c_HongkongChina_reward3[1]	c_HongkongChina_reward4[1]	c_India_reward0[1]	c_India_reward1[1]	c_India_reward2[1]	c_India_reward3[1]	c_India_reward4[1]	c_IndonesiaEastTimor_reward0[1]	c_IndonesiaEastTimor_reward1[1]	c_IndonesiaEastTimor_reward2[1]	c_IndonesiaEastTimor_reward3[1]	c_IndonesiaEastTimor_reward4[1]	c_Japan_reward0[1]	c_Japan_reward1[1]	c_Japan_reward2[1]	c_Japan_reward3[1]	c_Japan_reward4[1]	c_Laos_reward0[1]	c_Laos_reward1[1]	c_Laos_reward2[1]	c_Laos_reward3[1]	c_Laos_reward4[1]	c_MacaoChina_reward0[1]	c_MacaoChina_reward1[1]	c_MacaoChina_reward2[1]	c_MacaoChina_reward3[1]	c_MacaoChina_reward4[1]	c_MalaysiaBrunei_reward0[1]	c_MalaysiaBrunei_reward1[1]	c_MalaysiaBrunei_reward2[1]	c_MalaysiaBrunei_reward3[1]	c_MalaysiaBrunei_reward4[1]	c_Myanmar_reward0[1]	c_Myanmar_reward1[1]	c_Myanmar_reward2[1]	c_Myanmar_reward3[1]	c_Myanmar_reward4[1]	c_Nepal_reward0[1]	c_Nepal_reward1[1]	c_Nepal_reward2[1]	c_Nepal_reward3[1]	c_Nepal_reward4[1]	c_NorthChina_reward0[1]	c_NorthChina_reward1[1]	c_NorthChina_reward2[1]	c_NorthChina_reward3[1]	c_NorthChina_reward4[1]	c_Philippines_reward0[1]	c_Philippines_reward1[1]	c_Philippines_reward2[1]	c_Philippines_reward3[1]	c_Philippines_reward4[1]	c_Singapore_reward0[1]	c_Singapore_reward1[1]	c_Singapore_reward2[1]	c_Singapore_reward3[1]	c_Singapore_reward4[1]	c_SouthChina_reward0[1]	c_SouthChina_reward1[1]	c_SouthChina_reward2[1]	c_SouthChina_reward3[1]	c_SouthChina_reward4[1]	c_SouthKorea_reward0[1]	c_SouthKorea_reward1[1]	c_SouthKorea_reward2[1]	c_SouthKorea_reward3[1]	c_SouthKorea_reward4[1]	c_SriLanka_reward0[1]	c_SriLanka_reward1[1]	c_SriLanka_reward2[1]	c_SriLanka_reward3[1]	c_SriLanka_reward4[1]	c_TaiwanChina_reward0[1]	c_TaiwanChina_reward1[1]	c_TaiwanChina_reward2[1]	c_TaiwanChina_reward3[1]	c_TaiwanChina_reward4[1]	c_Thailand_reward0[1]	c_Thailand_reward1[1]	c_Thailand_reward2[1]	c_Thailand_reward3[1]	c_Thailand_reward4[1]	c_Vietnam_reward0[1]	c_Vietnam_reward1[1]	c_Vietnam_reward2[1]	c_Vietnam_reward3[1]	c_Vietnam_reward4[1]	c_allTransitions0[1]	c_allTransitions1[1]	c_allTransitions2[1]	c_allTransitions3[1]	c_allTransitions4[1]
mean	-5367.2107	-97.2217	-5269.989	507.49	0.5927	0.4352	1.8726	1.0132	3.3454	1.5547	1.9999	0.9543	1	0.9543	0	5.0514	1.7542	21.9416	0.145	3.9529	2.6642	0.1992	11.907	0.0576	2.3507	1.5846	0.8288	18.7672	0.5417	4.2922	5.1414	1.5166	29.2842	3.2403	13.6092	2.7343	0.0842	28.5553	2.2698	12.2401	9.9509	3.5214	29.6536	3.7413	5.3807	5.3878	3.1092	17.305	4.5764	7.1296	2.0695	0.7918	25.7982	2.0807	7.7297	1.094	2.5144	11.8603	1.9175	2.9863	0.5223	0.0237	11.7179	0.1113	2.8344	4.4573	0.2766	18.4684	0.6557	7.9354	1.2299	0.1276	15.2285	0.1221	1.0315	5.5923	6.0266	14.8889	0.0801	3.0586	4.3567	0.1226	31.17	3.8516	13.1427	2.8109	2.7121	20.2627	0.2859	8.6389	6.6741	0.7024	31.0573	2.2531	10.9292	9.4118	0.3635	33.9865	0.8892	5.5057	4.9064	0.1109	23.2752	1.4239	6.2094	4.6405	0.8184	14.0735	0.9664	1.3461	2.8696	0.0664	23.6883	2.0176	8.8759	3.6768	0.5474	28.6803	1.3225	8.3742	0.6164	0.7559	20.4062	1.1734	12.2846	200.4146	33.7694	1797.3259	85.3925	384.3703
stderr of mean	1.2636	0.2389	1.2532	13.8547	3.034E-3	3.0674E-3	5.4086E-3	6.6916E-3	0.0105	6.0099E-3	5.2305E-3	4.8563E-3	0	4.8563E-3	0	0.057	0.0279	0.1203	0.0102	0.0686	0.039	0.011	0.0907	5.6662E-3	0.0507	0.0323	0.0185	0.1132	0.0234	0.0618	0.0551	0.0217	0.1694	0.0574	0.1225	0.0421	7.7236E-3	0.1764	0.0478	0.1698	0.1223	0.0529	0.1789	0.0667	0.0807	0.05	0.0207	0.1115	0.0449	0.0718	0.0367	0.0191	0.1303	0.0475	0.1243	0.0211	0.0223	0.1171	0.0344	0.0544	0.0161	4.45E-3	0.1267	8.8283E-3	0.0521	0.058	0.016	0.137	0.0216	0.0935	0.0257	0.0121	0.0956	0.012	0.0294	0.0777	0.0684	0.1375	8.247E-3	0.0486	0.0515	9.6334E-3	0.1661	0.0649	0.1378	0.0475	0.0662	0.1109	0.0157	0.1148	0.1037	0.0247	0.1956	0.0389	0.1218	0.0696	0.0134	0.1963	0.0264	0.0796	0.0529	8.9657E-3	0.1261	0.0325	0.0796	0.0604	0.0212	0.088	0.0249	0.0324	0.0407	7.2814E-3	0.1677	0.0412	0.0978	0.0612	0.0162	0.1571	0.0352	0.0922	0.0247	0.0192	0.122	0.0383	0.1159	0.646	0.2698	4.6534	0.5142	1.0687
stdev	22.5195	5.0799	22.9085	278.3874	0.0645	0.0652	0.115	0.1423	0.2242	0.1278	0.1112	0.0817	0	0.0817	0	1.2125	0.5931	2.5579	0.2134	1.4587	0.774	0.2343	1.9293	0.1205	1.0438	0.6597	0.3944	2.309	0.4977	1.3147	1.1704	0.4218	3.2534	1.144	2.4849	0.818	0.1642	3.7503	1.0158	3.1013	2.2932	1.1241	3.8037	1.2596	1.7025	1.0638	0.4395	2.3708	0.8777	1.5269	0.7599	0.4058	2.7699	1.0099	2.0308	0.4495	0.4291	2.0241	0.7322	1.1538	0.3413	0.0892	2.6946	0.1877	1.1067	1.2331	0.2801	2.8009	0.4594	1.9883	0.4841	0.186	2.0328	0.2188	0.6248	1.5847	1.4544	2.9225	0.1753	1.0332	1.0952	0.195	3.5315	1.3797	2.9306	0.9864	1.3477	2.3581	0.3253	2.4403	2.0344	0.5246	4.1578	0.816	2.5895	1.4787	0.2844	4.174	0.5604	1.692	1.1256	0.1906	2.6815	0.6907	1.6913	1.2847	0.4513	1.8708	0.5121	0.6898	0.8643	0.1548	3.4823	0.8205	2.0184	1.3013	0.3439	3.3407	0.6379	1.9185	0.484	0.4077	2.3217	0.7489	2.4631	12.9986	5.6458	98.9336	10.9317	22.7217
variance	507.13	25.8056	524.7983	77499.5438	4.1609E-3	4.253E-3	0.0132	0.0202	0.0503	0.0163	0.0124	6.6765E-3	0	6.6765E-3	0	1.4702	0.3518	6.5428	0.0455	2.1277	0.5991	0.0549	3.7221	0.0145	1.0894	0.4352	0.1555	5.3316	0.2478	1.7283	1.3699	0.1779	10.5846	1.3086	6.1746	0.6691	0.027	14.0644	1.0318	9.6178	5.2586	1.2636	14.4682	1.5865	2.8985	1.1317	0.1932	5.6209	0.7703	2.3313	0.5775	0.1647	7.6725	1.0198	4.1241	0.2021	0.1841	4.0968	0.5361	1.3313	0.1165	7.9507E-3	7.2611	0.0352	1.2249	1.5206	0.0784	7.8452	0.211	3.9535	0.2343	0.0346	4.1322	0.0479	0.3904	2.5114	2.1153	8.541	0.0307	1.0676	1.1994	0.038	12.4712	1.9035	8.5883	0.973	1.8162	5.5609	0.1058	5.9549	4.1389	0.2752	17.2876	0.6659	6.7056	2.1865	0.0809	17.4226	0.314	2.8629	1.267	0.0363	7.1905	0.4771	2.8604	1.6505	0.2037	3.5001	0.2622	0.4758	0.747	0.024	12.1263	0.6732	4.074	1.6933	0.1183	11.1604	0.4069	3.6805	0.2343	0.1662	5.3902	0.5608	6.0668	168.9633	31.8756	9787.8557	119.5012	516.2737
median	-5368.907	-97.0815	-5271.644	506	0.5962	0.4373	1.872	1.0038	3.3304	1.5505	1.9964	0.9531	0	0.9531	0	5.0052	1.6943	21.7994	0.0527	3.9016	2.583	0.1138	11.7877	1.749E-3	2.1913	1.451	0.7811	18.6441	0.3608	4.1419	5.0635	1.5259	29.2549	3.0897	13.475	2.6683	0	28.2396	2.1607	12.0242	9.7368	3.3353	29.7081	3.6664	5.0583	5.3156	3.0915	17.2845	4.6302	6.9707	2.0296	0.7293	25.6552	1.8551	7.4933	1.0345	2.5009	11.6938	1.9229	2.8607	0.4326	0	11.3108	5.0627E-3	2.6182	4.3188	0.1977	18.2305	0.5641	7.7086	1.1766	0.0642	15.0818	0.0391	0.9337	5.4329	6.0739	14.5533	0	2.833	4.2694	1.0668E-3	31.2533	3.9142	13.2215	2.8304	2.5217	19.9908	0.1863	8.4589	6.6479	0.6002	30.5303	2.1386	10.6738	9.4209	0.3053	33.7841	0.7685	5.2743	4.858	0	22.9968	1.3425	5.9789	4.562	0.7815	14.0173	0.8484	1.2459	2.7992	0	23.421	1.8995	8.7539	3.5647	0.4762	28.5054	1.2334	8.1552	0.512	0.6845	20.3205	1.1336	12.1015	200	33	1793	84	383
value range	[-5423.4763, -5301.1394]	[-113.6035, -85.7091]	[-5337.7672, -5204.8224]	[1, 982]	[0.4057, 0.8053]	[0.2286, 0.6651]	[1.5773, 2.2762]	[0.6095, 1.6416]	[2.7937, 4.1478]	[1.1843, 2.0626]	[1.745, 2.3566]	[0.7223, 1.1714]	[1, 1]	[0.7223, 1.1714]	[0, 0]	[2.1088, 9.2254]	[0.5725, 3.9843]	[13.6466, 29.7767]	[0, 1.724]	[0.7553, 8.7301]	[0.9256, 5.8789]	[0, 1.3468]	[7.3403, 19.5128]	[0, 1.104]	[0.2805, 5.6792]	[0.3335, 4.1912]	[0, 2.0359]	[12.8975, 25.2838]	[2.9045E-4, 2.5778]	[1.5049, 11.0154]	[2.3081, 9.065]	[0.1889, 2.811]	[21.2573, 38.5857]	[0.6816, 7.8631]	[7.6687, 22.2977]	[0.5198, 6.5883]	[0, 1.0699]	[19.716, 40.8073]	[0.4106, 5.6556]	[4.5994, 22.1982]	[4.7634, 17.9589]	[1.6021, 10.0218]	[17.9582, 45.0419]	[0.3659, 7.5867]	[1.9292, 10.8801]	[2.8478, 9.551]	[1.8555, 4.7344]	[10.0541, 26.0144]	[1.5456, 7.1207]	[3.1767, 13.452]	[0.3711, 5.3663]	[0.0699, 2.274]	[19.1326, 37.3963]	[0.4416, 6.8463]	[3.2409, 16.208]	[0.1869, 2.8406]	[1.3522, 3.8006]	[7.3933, 19.3697]	[0.3984, 4.5946]	[0.4577, 10.4351]	[0.0583, 2.1677]	[0, 0.6377]	[5.5165, 21.1896]	[0, 1.732]	[0.8535, 7.9741]	[1.7517, 9.6392]	[0, 1.8964]	[11.1487, 26.2246]	[0.031, 2.8648]	[3.6582, 15.8803]	[0.2357, 3.3405]	[0, 1.3115]	[9.829, 21.0704]	[0, 1.7676]	[0.1075, 4.7296]	[2.2617, 10.192]	[0.2687, 10.3108]	[8.4454, 25.3164]	[0, 1.4767]	[1.0506, 8.0576]	[1.4299, 8.0305]	[0, 1.0953]	[19.7953, 41.8336]	[0.8102, 9.3023]	[5.5896, 20.8868]	[0.4896, 5.7424]	[5.2869E-4, 5.895]	[13.1989, 28.5649]	[0, 2.5791]	[3.3924, 18.8131]	[2.3465, 13.6559]	[9.0597E-3, 3.6707]	[19.8273, 45.7455]	[0.5208, 5.2661]	[4.7355, 21.4518]	[5.4578, 14.9424]	[0, 1.6382]	[23.4696, 45.0894]	[0, 4.0205]	[1.2347, 12.8048]	[2.0203, 9.5638]	[0, 0.9672]	[16.2345, 33.4317]	[0.1772, 4.5083]	[2.867, 13.4107]	[1.6371, 8.9254]	[0, 2.9095]	[9.1853, 19.5773]	[0.1231, 3.1657]	[0.1694, 5.0115]	[0.755, 5.9249]	[0, 0.9742]	[13.8761, 38.2054]	[0.3032, 4.8723]	[3.7536, 14.9096]	[0.7596, 9.4744]	[0, 2.2558]	[20.1082, 40.7301]	[0.0579, 3.5952]	[3.9502, 15.2994]	[0, 2.5904]	[0.0197, 2.1299]	[13.9817, 27.6068]	[2.5575E-3, 4.1053]	[6.4836, 20.9321]	[167, 237]	[18, 48]	[1550, 2212]	[60, 125]	[323, 449]
geometric mean	n/a	n/a	n/a	384.5094	0.5892	0.4302	1.8691	1.0033	3.3379	1.5495	1.9969	0.9508	n/a	0.9508	n/a	4.9028	1.6574	21.7938	n/a	3.6621	2.5538	n/a	11.7543	n/a	2.1189	1.4519	n/a	18.6255	0.2691	4.0936	5.0069	1.4485	29.1034	3.0393	13.3839	2.6124	n/a	28.3105	2.0366	11.8514	9.7012	3.3724	29.4066	3.4991	5.1176	5.2842	3.0782	17.1414	4.4848	6.9648	1.9267	0.6824	25.6518	1.8507	7.4727	0.9999	2.478	11.6911	1.7645	2.7668	0.4301	n/a	11.4193	n/a	2.6442	4.2899	n/a	18.2555	0.5116	7.6998	1.1401	n/a	15.0932	n/a	0.8713	5.3582	5.7847	14.6078	n/a	2.8989	4.2203	n/a	30.9665	3.5706	12.7922	2.6141	2.244	20.1271	n/a	8.3027	6.3443	0.5091	30.786	2.1092	10.6304	9.2952	n/a	33.7311	n/a	5.249	4.7791	n/a	23.1237	1.2586	5.9944	4.4501	n/a	13.95	0.8298	1.166	2.7368	n/a	23.4344	1.8468	8.6413	3.459	n/a	28.4854	1.1568	8.1613	n/a	0.6324	20.2743	0.8242	12.0408	199.9961	33.299	1794.6286	84.7103	383.7055
95% HPD interval	[-5409.8127, -5325.5579]	[-106.9265, -87.6011]	[-5316.8371, -5229.1036]	[74, 979]	[0.4706, 0.7143]	[0.3222, 0.5659]	[1.6624, 2.0981]	[0.7801, 1.3067]	[2.8986, 3.7366]	[1.3312, 1.8085]	[1.8037, 2.2273]	[0.806, 1.1163]	n/a	[0.806, 1.1163]	n/a	[2.9325, 7.4051]	[0.8111, 2.9283]	[17.504, 27.1788]	[0, 0.5472]	[1.0015, 6.6157]	[1.2107, 4.1944]	[0, 0.6164]	[8.6724, 16.2243]	[0, 0.2566]	[0.7536, 4.4958]	[0.4871, 2.9205]	[0.1428, 1.5843]	[14.1635, 22.9237]	[2.9045E-4, 1.4494]	[2.0403, 6.9047]	[3.0688, 7.4513]	[0.6758, 2.2718]	[22.3854, 35.1142]	[1.39, 5.7117]	[8.8734, 18.1656]	[1.2439, 4.2831]	[0, 0.4365]	[21.9062, 35.7378]	[0.6614, 4.3738]	[6.7998, 18.3393]	[5.9483, 14.3878]	[1.6021, 5.3925]	[22.8115, 36.7125]	[1.4302, 6.1841]	[2.418, 8.5802]	[3.2119, 7.2015]	[2.2961, 4.0362]	[13.2119, 21.8476]	[2.995, 6.204]	[4.0995, 9.9022]	[0.8314, 3.6598]	[0.0699, 1.5354]	[20.8621, 30.8157]	[0.4579, 3.9916]	[4.4166, 11.7518]	[0.3798, 2.0245]	[1.7436, 3.2988]	[8.1251, 15.6717]	[0.3984, 3.2397]	[1.0703, 5.0708]	[0.0583, 1.2611]	[0, 0.1925]	[7.3574, 17.0832]	[0, 0.4739]	[1.0729, 4.9884]	[2.4376, 6.8872]	[0, 0.7959]	[13.9549, 24.3374]	[0.0697, 1.6034]	[4.7338, 12.0315]	[0.4405, 2.1559]	[0, 0.5112]	[11.3865, 19.2992]	[0, 0.4874]	[0.227, 2.1738]	[2.4516, 8.2404]	[3.1472, 8.9623]	[9.5193, 20.8783]	[0, 0.421]	[1.3025, 4.8838]	[2.4622, 6.7461]	[0, 0.5403]	[24.4629, 37.7589]	[1.0349, 6.0201]	[7.6887, 18.25]	[1.0058, 4.586]	[0.1457, 5.0267]	[16.018, 24.9936]	[0, 0.8548]	[4.5084, 13.5547]	[2.8161, 10.4593]	[9.0597E-3, 1.7257]	[23.867, 39.4433]	[0.8882, 4.0393]	[6.57, 16.2916]	[6.8507, 12.2812]	[0, 0.8555]	[26.5633, 42.0753]	[0.025, 1.9386]	[2.7168, 8.7826]	[2.7371, 7.1334]	[0, 0.5528]	[18.2452, 28.5134]	[0.3383, 2.8386]	[3.5089, 9.7146]	[2.2955, 7.0997]	[0, 1.5348]	[10.9716, 17.9878]	[0.1231, 1.9123]	[0.1694, 2.5989]	[1.3308, 4.5493]	[0, 0.4033]	[16.9749, 29.8329]	[0.7104, 3.6729]	[4.8685, 12.9041]	[1.4176, 6.1727]	[0, 1.137]	[22.7046, 34.7502]	[0.2448, 2.5119]	[5.452, 12.5834]	[0, 1.5335]	[0.046, 1.5012]	[15.7793, 24.6697]	[2.5575E-3, 2.3898]	[7.5268, 16.8004]	[178, 228]	[24, 45]	[1570, 1959]	[65, 106]	[340, 424]
auto-correlation time (ACT)	1423.1167	1000	1352.6205	1119.524	1000	1000	1000	1000	1000	1000	1000	1596.6102	n/a	1596.6102	n/a	1000	1000	1000	1027.8674	1000	1144.954	1000	1000	1000	1068.411	1080.9706	1000	1085.7604	1000	1000	1000	1193.774	1224.858	1139.8715	1098.3216	1197.1999	1000	1000	1000	1355.1207	1285.2527	1000	1000	1266.8745	1014.3647	1000	1000	1000	1183.0801	1000	1056.5454	1000	1000	1000	1692.6138	1000	1217.9241	1513.8729	1000	1004.4834	1000	1125.8104	1000	1000	1000	1000	1471.6272	1081.0851	1000	1000	1275.9592	1925.5832	1000	1350.1042	1000	1085.8971	1000	1000	1000	1000	1000	1103.5664	1000	1000	1000	1049.0175	1090.3008	1000	1055.842	1000	1174.7024	1000	1000	1026.8378	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1064.611	1000	1000	1000	1048.1417	1142.3617	1062.1349	1000	1000	1000	1375.3398	1043.5166	1174.2526	1000	1247.6235	1185.3084	1000	1116.4056	1032.0215	1000	1000	1000
effective sample size (ESS)	316.9	451	333.4	402.8	451	451	451	451	451	451	451	282.5	n/a	282.5	n/a	451	451	451	438.8	451	393.9	451	451	451	422.1	417.2	451	415.4	451	451	451	377.8	368.2	395.7	410.6	376.7	451	451	451	332.8	350.9	451	451	356	444.6	451	451	451	381.2	451	426.9	451	451	451	266.5	451	370.3	297.9	451	449	451	400.6	451	451	451	451	306.5	417.2	451	451	353.5	234.2	451	334	451	415.3	451	451	451	451	451	408.7	451	451	451	429.9	413.6	451	427.1	451	383.9	451	451	439.2	451	451	451	451	451	451	451	451	451	451	451	451	451	451	423.6	451	451	451	430.3	394.8	424.6	451	451	451	327.9	432.2	384.1	451	361.5	380.5	451	404	437	451	451	451
number of samples	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451	451
